DNAID	RarefactionFactor
FJVN100	1
FJVN101	1
FJVN102	0.979361188360862
FJVN103	0.933465744741019
FJVN104	1
FJVN115	1
FJVN116	1
FJVN117	1
FJVN118	1
FJVN67	1
FJVN68	1
FJVN69	1
FJVN70	1
FJVN81	1
FJVN82	0.754603791849241
FJVN83	1
FJVN84	1
FJVN85	1
FJVN86	1
FJVN87	1
FJVN88	1
FJVN97	1
FJVN98	0.984099042240211
FJVN99	1
JTSVD01	0.926602581049486
JTSVD02	0.905010741729268
JTSVD03	0.916671839210372
JTSVD04	0.907859102077177
JTSVD05	0.966279223249978
JTSVD06	0.897609309781571
JTSVD07	0.99338671774805
JTSVD08	0.97507015096315
JTSVD09	1
JTSVD10	0.883176539315635
JTSVD11	0.887538204070951
JTSVD12	0.838310159154194
JTSVD13	0.974183403658774
JTSVD14	0.96556723122675
JTSVD15	0.986325013094773
JTSVD16	0.974849971500445
JTSVD17	1
JTSVD18	0.989376671777937
JTSVD19	1
JTSVD20	0.931528349951221
JTSVD21	0.893879760173442
JTSVD22	0.98711873381724
JTSVD23	0.974265656259254
JTSVD24	1
JVD100	0.80554402169411
JVD101	1
JVD102	1
JVD103	0.819636870570546
JVD104	0.95832327058422
JVD105	1
JVD106	1
JVD107	0.903533419711773
JVD108	0.739100395121018
JVD109	1
JVD110	1
JVD111	1
JVD112	0.760166977621917
JVD113	0.742602740168089
JVD114	0.701109286953673
JVD115	0.944969693012159
JVD116	1
JVD117	0.999754712166942
JVD119	0.839802250585952
JVD121	0.871684926949863
JVD122	1
JVD123	1
JVD125	0.974876172484812
JVD127	0.772261460382082
JVD129	0.838755918993259
JVD130	1
JVD133	1
JVD135	1
JVD137	1
JVD140	0.645615626532435
JVD141	1
JVD143	0.963643924418515
JVD147	1
JVD148	1
JVD149	0.976133645410634
JVD157	1
JVD159	1
JVD17	1
JVD18	1
JVD19	1
JVD20	0.866519985320548
JVD201	0.921470993515399
JVD202	1
JVD203	0.889432141262105
JVD204	0.906635644163618
JVD205	0.911674107697371
JVD206	1
JVD207	0.905514420303226
JVD208	0.0591805745904435
JVD209	0.878939611080652
JVD21	1
JVD210	0.926226688204628
JVD211	0.922754620246982
JVD212	0.900357431009677
JVD213	1
JVD214	0.91553080564532
JVD215	0.880924013576463
JVD216	1
JVD217	0.870320498611953
JVD218	0.886367328861506
JVD219	0.980268925831269
JVD22	1
JVD220	1
JVD221	0.989512148046974
JVD222	1
JVD223	0.907072432402533
JVD224	1
JVD225	0.903154942068504
JVD226	0.901681959023238
JVD227	0.901963507600862
JVD228	1
JVD229	1
JVD23	0.417926659043295
JVD230	0.831310691218867
JVD231	0.90972693454886
JVD232	0.900202082401381
JVD24	1
JVD25	1
JVD27	1
JVD28	1
JVD29	0.911173107171118
JVD30	0.964374845701059
JVD31	1
JVD32	1
JVD33	0.952407747820034
JVD34	0.955986539697622
JVD37	1
JVD39	1
JVD41	0.955837339366568
JVD42	0.917731052866511
JVD43	1
JVD44	1
JVD45	0.726213321152179
JVD46	0.663948735405767
JVD47	0.837157511851508
JVD48	1
JVD49	0.975717416814293
JVD50	0.903194428908314
JVD51	1
JVD52	0.865845167083273
JVD53	0.846378729424686
JVD54	1
JVD55	0.97681138231455
JVD56	0.897943947987429
JVD57	0.918558175767423
JVD58	1
JVD59	1
JVD60	0.975154755031436
JVD61	1
JVD62	0.931661616671968
JVD63	1
JVD64	0.92035072348307
JVD65	0.991203400363754
JVD66	0.829586434079699
JVD67	0.977022316217872
JVD68	0.85764764597708
JVD69	1
JVD70	0.869275052641406
JVD71	1
JVD72	0.883580666135385
JVD73	1
JVD74	1
JVD75	1
JVD76	0.9776619974006
JVD77	1
JVD78	1
JVD79	0.99846363164773
JVD80	1
JVD81	1
JVD82	0.913669625966509
JVD83	1
JVD84	0.826718230630724
JVD85	1
JVD86	0.776458116812412
JVD87	1
JVD88	0.796080637143375
JVD89	1
JVD90	0.808350397109261
JVD91	1
JVD92	0.966727947436712
JVD93	1
JVD94	0.943476324125157
JVD95	0.986188190952267
JVD96	0.873852800798626
JVD97	1
JVD98	0.861346197029426
JVD99	1
JVN1	0.116895110352252
JVN10	0.980083274800558
JVN11	1
JVN113	0.994029148843103
JVN114	1
JVN115	1
JVN116	1
JVN117	0.968986730486188
JVN118	0.923627441713765
JVN119	1
JVN12	1
JVN120	1
JVN121	1
JVN122	1
JVN123	1
JVN124	0.965986841863048
JVN125	0.92096820389758
JVN126	0.977457287260763
JVN127	1
JVN128	0.766126777161719
JVN13	0.724293294749636
JVN14	0.753638938252648
JVN145	1
JVN146	1
JVN147	1
JVN148	0.947183685923652
JVN149	0.911514918494559
JVN15	1
JVN150	1
JVN151	1
JVN152	1
JVN16	0.309161147041706
JVN161	1
JVN162	1
JVN163	1
JVN164	1
JVN165	1
JVN166	1
JVN167	1
JVN168	1
JVN17	0.961634774598837
JVN177	0.936859257741516
JVN178	0.983275453406382
JVN179	0.949767326616947
JVN18	1
JVN180	0.880759188731967
JVN181	0.992197084225475
JVN182	0.818459489393518
JVN183	0.812883427766855
JVN184	1
JVN19	1
JVN193	1
JVN194	0.979975783353164
JVN195	0.98954189851192
JVN196	0.929105394746418
JVN197	1
JVN198	1
JVN199	1
JVN2	0.452222996409265
JVN20	0.876118939863393
JVN200	1
JVN201	0.91289434983039
JVN202	1
JVN203	1
JVN204	0.959093286338421
JVN205	0.996181536887048
JVN206	1
JVN207	0.949657387159461
JVN208	1
JVN21	0.83580222468309
JVN22	0.788701250034309
JVN23	1
JVN24	0.969897980123633
JVN25	0.974682068137461
JVN26	1
JVN27	0.981701192798263
JVN28	1
JVN29	1
JVN3	0.299907635577339
JVN30	0.920566379156429
JVN31	1
JVN32	1
JVN33	1
JVN34	0.983962836927645
JVN35	1
JVN36	1
JVN37	1
JVN38	0.993460221967941
JVN39	1
JVN4	0.184226242820422
JVN40	0.967383648338365
JVN41	1
JVN42	1
JVN43	0.936939330503578
JVN44	1
JVN45	0.913689102799534
JVN46	1
JVN47	0.966340089022196
JVN48	0.968205194172782
JVN49	1
JVN5	1
JVN50	1
JVN51	1
JVN52	1
JVN53	0.95199432867282
JVN54	0.981263774901339
JVN55	0.974092445008414
JVN56	1
JVN57	0.975615390007145
JVN58	1
JVN59	1
JVN6	0.779047673119288
JVN60	1
JVN61	1
JVN62	0.950635044395171
JVN63	0.921662544294084
JVN64	1
JVN65	1
JVN66	1
JVN67	1
JVN68	1
JVN69	1
JVN7	0.320460658085997
JVN70	1
JVN71	0.974920080909484
JVN72	1
JVN8	0.987643170828271
JVN9	0.803105197818071
