SampleID	CollectionDate	Mount		Collector	Processed
JTSVD01	02-06-2022	1	0.838	Chris	02-07-2022
JTSVD02	02-06-2022	2	0.635	Joanne	02-07-2022
JTSVD03	02-06-2022	3	1.18	Chris	02-08-2022
JTSVD04	02-06-2022	4	0.976	Joanne	02-08-2022
JTSVD05	02-06-2022	5	1.03	Chris	02-07-2022
JTSVD06	02-06-2022	6	0.683	Joanne	02-07-2022
JTSVD07	02-06-2022	7	1.13	Chris	02-08-2022
JTSVD08	02-06-2022	8	1.41	Joanne	02-08-2022
JTSVD09	02-06-2022	9	1.13	Chris	02-07-2022
JTSVD10	02-06-2022	10	1.13	Joanne	02-07-2022
JTSVD11	02-06-2022	11	1.04	Chris	02-08-2022
JTSVD12	02-06-2022	12	2.27	Joanne	02-08-2022
JTSVD13	02-06-2022	13	0.65	Chris	02-07-2022
JTSVD14	02-06-2022	14	0.448	Joanne	02-07-2022
JTSVD15	02-06-2022	15	1.27	Chris	02-08-2022
JTSVD16	02-06-2022	16	0.385	Joanne	02-08-2022
JTSVD17	02-06-2022	17	0.528	Chris	02-07-2022
JTSVD18	02-06-2022	18	0.634	Joanne	02-07-2022
JTSVD19	02-06-2022	19	0.817	Chris	02-08-2022
JTSVD20	02-06-2022	20	1.35	Joanne	02-08-2022
JTSVD21	02-06-2022	21	0.974	Chris	02-07-2022
JTSVD22	02-06-2022	22	0.701	Joanne	02-07-2022
JTSVD23	02-06-2022	23	0.999	Chris	02-08-2022
JTSVD24	02-06-2022	24	0.796	Joanne	02-08-2022
